S   0x401b91   0x402a90  # new normal but delete[] ; size 8
S   0x401b91   0x402a90  # new normal but delete[] ; size 7
S   0x401b91   0x402a90  # new normal but delete[] ; size 7
S   0x401b91   0x402a90  # new normal but delete[] ; size 7
S   0x401b91   0x402a90  # new normal but delete[] ; size 7
S   0x401b91   0x402a90  # new normal but delete[] ; size 6
S   0x401b91   0x402a90  # new normal but delete[] ; size 10
S   0x401b91   0x402a90  # new normal but delete[] ; size 6
S   0x401b91   0x402a90  # new normal but delete[] ; size 11
S   0x402d29   0x402e24  # new normal but delete[] ; size 10
S   0x402d5e   0x402e34  # new normal but delete[] ; size 10
S   0x402d95   0x402e44  # new normal but delete[] ; size 5
S   0x402d29   0x402e24  # new normal but delete[] ; size 5
S   0x402d5e   0x402e34  # new normal but delete[] ; size 7
S   0x402d95   0x402e44  # new normal but delete[] ; size 5
S   0x402d29   0x402e24  # new normal but delete[] ; size 8
S   0x402d5e   0x402e34  # new normal but delete[] ; size 9
S   0x402d95   0x402e44  # new normal but delete[] ; size 4
S   0x402d29   0x402e24  # new normal but delete[] ; size 7
S   0x402d5e   0x402e34  # new normal but delete[] ; size 10
S   0x402d95   0x402e44  # new normal but delete[] ; size 5
S   0x402d29   0x402e24  # new normal but delete[] ; size 5
S   0x402d5e   0x402e34  # new normal but delete[] ; size 10
S   0x402d95   0x402e44  # new normal but delete[] ; size 5
S   0x402d29   0x402e24  # new normal but delete[] ; size 8
S   0x402d5e   0x402e34  # new normal but delete[] ; size 8
S   0x402d95   0x402e44  # new normal but delete[] ; size 5
S   0x402d29   0x402e24  # new normal but delete[] ; size 5
S   0x402d5e   0x402e34  # new normal but delete[] ; size 11
S   0x402d95   0x402e44  # new normal but delete[] ; size 5
S   0x402d29   0x402e24  # new normal but delete[] ; size 7
S   0x402d5e   0x402e34  # new normal but delete[] ; size 9
S   0x402d95   0x402e44  # new normal but delete[] ; size 4
S   0x402d29   0x402e24  # new normal but delete[] ; size 15
S   0x402d5e   0x402e34  # new normal but delete[] ; size 7
S   0x402d95   0x402e44  # new normal but delete[] ; size 5
S   0x402d29   0x402e24  # new normal but delete[] ; size 10
S   0x402d5e   0x402e34  # new normal but delete[] ; size 10
S   0x402d95   0x402e44  # new normal but delete[] ; size 5
