Анапа  	1400	1460	2:21	2:18	 - 
CPH	Копенгаген	1595	1705	2:52	2:32	- 2
DRS	Дрезден	1695	1825	2:50	2:55	- 2
DUB	Дублин	2945	2980	4:25	4:05	- 3
DUS	Дюссельдорф	2190	2270	3:25	3:12	- 2
FCO	Рим	2615	2630	3:54	3:46	- 2
FRA	Франкфурт	2180	2170	3:30	3:07	- 2
GOT	Гетеборг	1600	1660	2:35	2:25	- 2
GVA	Женева	2565	2625	3:45	3:36	- 2
HAJ	Ганновер	1960	1945	3:10	3:05	- 2
HAM	Гамбург	1915	1910	3:02	2:47	- 2
HEL	Хельсинки	1035	970	1:51	1:41	- 1
IST	Стамбул	2415	2430	3:47	3:40	 - 
LCA	Ларнака	2815	2800	3:59	3:58	- 1
LHR	Лондон	2610	2695	4:16	3:47	- 3
LIS	Лиссабон	4060	4110	5:50	5:34	- 3
LJU	Любляна	2035	2040	3:15	3:10	- 2
LYS	Лион	2570	2725	3:57	3:52	- 2
MAD	Мадрид	3570	3595	5:17	5:02	- 2
MUC	Мюнхен	2025	2080	3:13	3:01	- 2
MXP	Милан	2445	2415	4:07	3:47	- 2
NAP	Неаполь	2600	2585	4:07	3:47	- 2
NCE	Ницца	2770	2655	4:01	3:47	- 2
OSL	Осло	1740	1790	2:54	2:35	- 2
OTP	Бухарест	2200	2065	3:15	3:05	- 1
PRG	Прага	1810	1815	2:55	2:42	- 2
RIX	Рига	900	955	1:47	1:37	- 1
SKG	Салоники	2480	2520	3:30	3:45	- 1
SOF	София	2245	2190	3:22	3:15	- 1
STR	Штутгарт 	2230	2240	3:27	3:12	- 2
SXF	Берлин	1800	1750	2:48	2:35	- 2
TBS	Тбилиси	1835	1870	2:53	2:46	+ 1
TFS	Тенерифе	5470	5415	7:25	6:55	- 3
TIV	Тиват	2295	2330	3:30	3:25	- 2
TLL	Таллин	930	1000	1:51	1:39	-
VCE	Венеция	2300	2230	3:32	3:12	- 2
VIE	Вена	1840	1780	2:55	2:43	- 2
VLC	Валенсия	3420	3480	5:05	5:00	- 1
VNO	Вильнюс	865	910	1:46	1:34	- 1
VRN	Верона	2335	2340	3:30	3:24	- 2
WAW	Варшава 	1310	1280	2:11	2:03	- 2
ZAG	Загреб	1985	2020	3:10	2:55	- 2
ZRH	Цюрих	2290	2380	3:42
